symbol,date,entry,stop,target,success
AMZN,2023-02-02,102.41,98.08,106.74,False
AMZN,2023-03-03,94.165,92.18,96.15,False
NVDA,2023-03-21,265.13,258.5,271.76,True
NVDA,2023-03-22,265.13,258.5,271.76,True
NVDA,2023-03-29,269.98,263.95,276.01000000000005,True
NVDA,2023-03-30,269.98,263.95,276.01000000000005,True
NVDA,2023-06-30,421.79,413.46,430.12000000000006,True
NVDA,2023-07-18,451.09,440.4,461.78,True
NVDA,2023-08-15,435.7799,416.6,454.9598,True
NVDA,2023-08-21,469.8,448.88,490.72,True
META,2023-03-21,201.03,197.9,204.16,True
TSLA,2023-02-09,196.3,187.61,204.99,True
TSLA,2023-02-15,208.44,197.5,219.38,False
TSLA,2023-02-23,197.6695,192.8,202.539,True
TSLA,2023-02-27,193.7499,186.01,201.4898,False
TSLA,2023-03-21,192.35,185.43,199.26999999999998,True
TSLA,2023-03-31,185.1,176.11,194.08999999999997,False
TSLA,2023-04-11,186.28,182.01,190.55,False
TSLA,2023-04-28,163.28,158.83,167.73,True
TSLA,2023-07-03,270.9,266.37,275.42999999999995,True
TSLA,2023-07-17,268.0,255.8,280.2,False
TSLA,2023-07-31,259.52,250.49,268.54999999999995,False
TSLA,2023-08-21,238.92,228.1801,249.65989999999996,True
TSLA,2023-08-22,238.92,228.1801,249.65989999999996,True
TSLA,2023-09-29,250.02,244.45,255.59000000000003,True
TSLA,2023-11-03,215.38,205.69,225.07,True
XOM,2023-02-10,116.09,114.14,118.04,False
BAC,2023-03-21,27.29,26.32,28.259999999999998,True
CRM,2023-02-09,169.74,165.33,174.15,False
AMD,2023-02-23,78.81,76.94,80.68,True
AMD,2023-03-30,96.79,94.81,98.77000000000001,False
AMD,2023-05-26,119.32,116.42,122.21999999999998,True
AMD,2023-06-09,125.7,122.26,129.14,False
AMD,2023-06-12,125.7,122.26,129.14,False
AMD,2023-06-30,113.79,110.31,117.27000000000001,False
AMD,2023-07-03,113.79,110.31,117.27000000000001,False
