symbol,date,entry,stop,target,success
NVDA,2023-02-14,220.48,209.62,231.33999999999997,False
NVDA,2023-07-25,451.09,440.4,461.78,True
NVDA,2023-08-29,469.8,448.88,490.72,True
NVDA,2023-08-29,469.8,448.88,490.72,True
META,2023-02-13,178.89,173.35,184.42999999999998,False
TSLA,2023-02-14,196.3,187.61,204.99,True
TSLA,2023-05-17,169.5184,164.35,174.68680000000003,True
TSLA,2023-06-28,250.3899,240.85,259.9298,True
TSLA,2023-07-24,268.0,255.8,280.2,False
TSLA,2023-10-04,250.02,244.45,255.59000000000003,True
TSLA,2023-11-28,238.33,232.1,244.56000000000003,True
TSLA,2023-11-28,238.33,232.1,244.56000000000003,True
CRM,2023-02-13,169.74,165.33,174.15,False
AMD,2023-07-25,111.31,108.55,114.07000000000001,True
AMD,2023-08-29,104.07,100.8944,107.24559999999998,True
AMD,2023-08-29,104.07,100.8944,107.24559999999998,True
AMD,2023-10-04,103.29,99.17,107.41000000000001,True
AMD,2024-01-04,137.43,133.7413,141.11870000000002,True
WFC,2023-04-24,41.4,40.21,42.589999999999996,False
INTU,2023-02-07,418.26,412.7,423.82,True
BX,2023-02-07,95.83,93.825,97.835,False
BX,2023-03-21,85.01,81.2,88.82000000000001,False
BX,2023-05-17,83.21,80.28,86.13999999999999,True
AMAT,2023-02-09,119.3699,115.47,123.2698,False
AMAT,2023-02-09,119.3699,115.47,123.2698,False
UBER,2023-02-14,34.52,33.35,35.690000000000005,True
UBER,2023-03-21,32.36,31.46,33.26,False
SCHW,2023-03-27,54.105,51.11,57.099999999999994,False
ISRG,2023-10-31,261.15,254.85,267.44999999999993,True
UBS,2023-04-11,20.755,20.342,21.168,True
UBS,2023-04-11,20.755,20.342,21.168,True
SHOP,2023-03-21,44.24,42.78,45.7,True
SHOP,2023-07-31,66.26,64.87,67.65,False
SHOP,2023-10-24,51.98,49.64,54.31999999999999,False
SHOP,2023-12-05,73.66,71.37,75.94999999999999,False
MU,2023-02-07,61.18,59.7401,62.6199,False
MU,2023-02-07,61.18,59.7401,62.6199,False
PANW,2023-11-17,244.8,234.15,255.45000000000002,True
ABNB,2023-02-13,113.36,106.5383,120.18169999999999,True
ABNB,2023-03-21,119.02,116.6254,121.4146,True
ANET,2023-08-29,182.68,177.29,188.07000000000002,True
ANET,2023-11-13,208.99,203.19,214.79000000000002,True
WDAY,2023-02-14,188.59,184.835,192.345,False
USB,2023-05-17,29.745,28.67,30.82,True
SNOW,2023-04-10,146.06,140.88,151.24,False
SNOW,2023-07-25,177.35,172.86,181.83999999999997,False
TEAM,2023-02-13,176.6,169.6,183.6,True
TEAM,2023-02-13,176.6,169.6,183.6,True
TEAM,2023-07-25,177.37,171.53,183.21,False
TEAM,2023-10-31,179.64,173.5812,185.69879999999998,False
TEAM,2023-11-07,178.3,170.26,186.34000000000003,False
CRWD,2023-02-21,114.29,110.46,118.12000000000002,True
CRWD,2023-03-14,123.6,118.23,128.96999999999997,True
CRWD,2023-07-25,151.785,147.15,156.42,True
CRWD,2023-10-24,181.17,173.29,189.04999999999998,False
FCX,2023-02-14,42.49,41.31,43.67,False
FCX,2023-03-27,38.205,36.75,39.66,True
FCX,2023-04-11,40.38,39.53,41.230000000000004,True
PSX,2023-04-05,102.92,97.51,108.33,False
MPC,2023-04-11,131.97,128.73,135.21,False
MRVL,2023-02-13,44.765,43.54,45.99,True
MRVL,2023-02-13,44.765,43.54,45.99,True
MRVL,2023-07-25,63.78,62.46,65.1,False
APO,2023-03-01,71.5,70.48,72.52,True
EL,2023-11-14,114.87,112.34,117.4,True
F,2023-02-07,13.21,12.78,13.640000000000002,True
F,2023-03-01,12.18,12.01,12.35,True
F,2023-03-14,12.305,11.32,13.29,False
F,2023-03-14,12.305,11.32,13.29,False
COF,2023-02-13,115.81,114.15,117.47,False
GM,2023-03-21,34.25,33.2674,35.2326,True
GM,2023-10-31,27.72,26.78,28.659999999999997,True
TFC,2023-07-24,33.57,32.5301,34.6099,False
TFC,2023-08-11,31.55,30.925,32.175,False
SQ,2023-03-02,76.73,74.65,78.81,True
SQ,2023-03-27,61.57,59.1,64.03999999999999,True
SQ,2023-03-27,61.57,59.1,64.03999999999999,True
SQ,2023-04-04,68.3899,65.805,70.97479999999999,False
SQ,2023-08-29,56.45,55.26,57.64000000000001,True
SQ,2023-08-29,56.45,55.26,57.64000000000001,True
SQ,2023-10-23,44.56,43.7003,45.419700000000006,True
DXCM,2023-02-07,109.065,106.44,111.69,True
DXCM,2023-09-26,87.22,85.31,89.13,True
FTNT,2023-06-26,71.76,70.15,73.37,True
VLO,2023-04-14,133.8505,130.45,137.25100000000003,False
NUE,2023-02-16,170.18,166.42,173.94000000000003,False
NUE,2023-03-23,152.544,147.48,157.60800000000003,False
COIN,2023-06-07,52.38,46.43,58.330000000000005,True
COIN,2023-06-14,52.66,50.52,54.79999999999999,True
COIN,2023-08-29,74.71,73.05,76.36999999999999,True
COIN,2023-10-31,74.08,71.88,76.28,True
DDOG,2023-02-07,79.595,76.51,82.67999999999999,True
DDOG,2023-02-07,79.595,76.51,82.67999999999999,True
DDOG,2023-02-22,79.58,77.3,81.86,False
DDOG,2023-07-24,111.5,108.6719,114.3281,True
DDOG,2023-07-27,112.695,107.05,118.33999999999999,False
DDOG,2023-08-29,93.43,91.48,95.38000000000001,True
DASH,2023-02-07,59.9,58.01,61.79,True
DASH,2023-02-14,59.57,57.45,61.69,True
NU,2023-11-01,8.2,7.93,8.469999999999999,True
PLTR,2023-09-05,15.365,14.83,15.9,False
PLTR,2023-10-17,17.46,16.67,18.25,False
PLTR,2023-11-28,19.5,18.62,20.38,False
ON,2023-03-14,79.14,76.37,81.91,False
ON,2023-03-21,80.52,77.59,83.44999999999999,False
ON,2023-06-01,85.245,81.995,88.495,True
ON,2023-08-14,96.7,94.31,99.09,False
MRNA,2023-05-31,126.67,124.26,129.07999999999998,True
MRNA,2023-07-05,122.94,120.12,125.75999999999999,False
MRNA,2023-10-10,102.77,98.01,107.52999999999999,False
MRNA,2023-11-29,78.25,75.84,80.66,False
