,symbol,date,stop,targets,trades
0,AAPL,2023-05-11,170.76,"[177.84000000000003, 181.38000000000005, 184.92000000000007]","[(Timestamp('2023-05-11 00:00:00'), 174.3, 1), (Timestamp('2023-05-17 00:00:00'), 170.76, -1)]"
1,AAPL,2020-08-03,100.825,"[112.00500000000001, 117.59500000000001, 123.18500000000002]","[(Timestamp('2020-08-03 00:00:00'), 106.415, 1), (Timestamp('2020-08-06 00:00:00'), 112.00500000000001, -0.5), (Timestamp('2020-08-20 00:00:00'), 117.59500000000001, -0.25), (Timestamp('2020-08-21 00:00:00'), 123.18500000000002, -0.25)]"
2,AAPL,2020-03-03,69.43,"[81.28999999999999, 87.21999999999998, 93.14999999999998]","[(Timestamp('2020-03-03 00:00:00'), 75.36, 1), (Timestamp('2020-03-09 00:00:00'), 69.43, -1)]"
3,MSFT,2023-04-27,292.73,"[306.40999999999997, 313.24999999999994, 320.0899999999999]","[(Timestamp('2023-04-27 00:00:00'), 299.57, 1), (Timestamp('2023-04-28 00:00:00'), 306.40999999999997, -0.5), (Timestamp('2023-05-16 00:00:00'), 313.24999999999994, -0.25), (Timestamp('2023-05-22 00:00:00'), 320.0899999999999, -0.25)]"
4,MSFT,2022-04-28,279.16,"[302.78000000000003, 314.59000000000003, 326.40000000000003]","[(Timestamp('2022-04-28 00:00:00'), 290.97, 1), (Timestamp('2022-04-29 00:00:00'), 279.16, -1)]"
5,MSFT,2022-01-31,293.03,"[323.97, 339.44000000000005, 354.9100000000001]","[(Timestamp('2022-01-31 00:00:00'), 308.5, 1), (Timestamp('2022-02-14 00:00:00'), 293.03, -1)]"
6,MSFT,2020-02-03,170.79,"[177.31000000000003, 180.57000000000005, 183.83000000000007]","[(Timestamp('2020-02-03 00:00:00'), 174.05, 1), (Timestamp('2020-02-03 00:00:00'), 170.79, -1)]"
7,GOOG,2023-05-15,114.9301,"[121.9499, 125.4598, 128.9697]","[(Timestamp('2023-05-15 00:00:00'), 118.44, 1), (Timestamp('2023-05-17 00:00:00'), 121.9499, -0.5), (Timestamp('2023-05-19 00:00:00'), 125.4598, -0.25), (Timestamp('2023-06-07 00:00:00'), 128.9697, -0.25)]"
8,GOOG,2021-02-08,100.919,"[110.73100000000001, 115.63700000000001, 120.54300000000002]","[(Timestamp('2021-02-08 00:00:00'), 105.825, 1), (Timestamp('2021-02-23 00:00:00'), 100.919, -1)]"
9,GOOG,2020-11-04,80.223,"[88.47699999999999, 92.60399999999998, 96.73099999999998]","[(Timestamp('2020-11-04 00:00:00'), 84.35, 1), (Timestamp('2020-11-04 00:00:00'), 88.47699999999999, -0.5), (Timestamp('2020-12-23 00:00:00'), 86.619, -0.5)]"
10,GOOGL,2023-05-12,114.41,"[121.43, 124.94000000000001, 128.45000000000002]","[(Timestamp('2023-05-12 00:00:00'), 117.92, 1), (Timestamp('2023-05-17 00:00:00'), 121.43, -0.5), (Timestamp('2023-05-19 00:00:00'), 124.94000000000001, -0.25), (Timestamp('2023-06-07 00:00:00'), 128.45000000000002, -0.25)]"
11,GOOGL,2023-02-07,105.61,"[110.08999999999999, 112.32999999999998, 114.56999999999998]","[(Timestamp('2023-02-07 00:00:00'), 107.85, 1), (Timestamp('2023-02-07 00:00:00'), 105.61, -1)]"
12,GOOGL,2021-02-08,100.6775,"[109.9849, 114.6386, 119.2923]","[(Timestamp('2021-02-08 00:00:00'), 105.3312, 1), (Timestamp('2021-02-23 00:00:00'), 100.6775, -1)]"
13,GOOGL,2020-11-04,80.0785,"[88.05309999999999, 92.04039999999998, 96.02769999999997]","[(Timestamp('2020-11-04 00:00:00'), 84.0658, 1), (Timestamp('2020-11-04 00:00:00'), 88.05309999999999, -0.5), (Timestamp('2020-12-03 00:00:00'), 92.04039999999998, -0.25), (Timestamp('2020-12-23 00:00:00'), 86.4115, -0.25)]"
14,GOOGL,2020-05-05,66.3365,"[69.67849999999999, 71.34949999999998, 73.02049999999997]","[(Timestamp('2020-05-05 00:00:00'), 68.0075, 1), (Timestamp('2020-05-08 00:00:00'), 69.67849999999999, -0.5), (Timestamp('2020-05-14 00:00:00'), 66.3365, -0.5)]"
15,AMZN,2023-10-30,125.52,"[134.52000000000004, 139.02000000000004, 143.52000000000004]","[(Timestamp('2023-10-30 00:00:00'), 130.02, 1), (Timestamp('2023-11-01 00:00:00'), 134.52000000000004, -0.5), (Timestamp('2023-11-03 00:00:00'), 139.02000000000004, -0.25), (Timestamp('2023-11-10 00:00:00'), 143.52000000000004, -0.25)]"
16,AMZN,2022-08-01,132.41,"[142.89000000000001, 148.13000000000002, 153.37000000000003]","[(Timestamp('2022-08-01 00:00:00'), 137.65, 1), (Timestamp('2022-08-04 00:00:00'), 142.89000000000001, -0.5), (Timestamp('2022-08-24 00:00:00'), 132.41, -0.5)]"
17,AMZN,2022-02-07,150.608,"[171.79199999999997, 182.38399999999996, 192.97599999999994]","[(Timestamp('2022-02-07 00:00:00'), 161.2, 1), (Timestamp('2022-02-22 00:00:00'), 150.608, -1)]"
18,AMZN,2020-02-04,100.1135,"[105.4585, 108.131, 110.8035]","[(Timestamp('2020-02-04 00:00:00'), 102.786, 1), (Timestamp('2020-02-10 00:00:00'), 105.4585, -0.5), (Timestamp('2020-02-11 00:00:00'), 108.131, -0.25), (Timestamp('2020-02-24 00:00:00'), 100.1135, -0.25)]"
19,NVDA,2023-05-30,366.35,"[423.25, 451.7, 480.15]","[(Timestamp('2023-05-30 00:00:00'), 394.8, 1), (Timestamp('2023-06-14 00:00:00'), 423.25, -0.5), (Timestamp('2023-07-13 00:00:00'), 451.7, -0.25), (Timestamp('2023-07-14 00:00:00'), 480.15, -0.25)]"
20,NVDA,2021-10-29,239.24,"[265.94, 279.28999999999996, 292.64]","[(Timestamp('2021-10-29 00:00:00'), 252.59, 1), (Timestamp('2021-11-02 00:00:00'), 265.94, -0.5), (Timestamp('2021-11-04 00:00:00'), 279.28999999999996, -0.25), (Timestamp('2021-11-05 00:00:00'), 292.64, -0.25)]"
