symbol,date,entry,stop,target,success
GOOG,2023-02-02 09:30:00,107.05,106.54,107.55999999999999,1
GOOG,2023-05-11 09:30:00,115.62,114.9301,116.30990000000001,1
GOOG,2023-05-25 09:30:00,125.11,124.77,125.45,-1
GOOG,2023-07-26 09:30:00,129.59,128.8,130.38,-1
GOOGL,2023-02-02 09:30:00,106.1622,105.61,106.7144,1
GOOGL,2023-05-11 09:30:00,115.03,114.41,115.65,1
GOOGL,2023-05-25 09:30:00,124.33,123.99,124.67,-1
GOOGL,2023-07-26 09:30:00,129.17,128.4,129.93999999999997,1
AMZN,2023-08-04 09:30:00,140.84,140.24,141.44,1
AMZN,2023-10-27 09:30:00,126.26,125.52,127.00000000000001,1
NVDA,2023-02-23 09:30:00,233.35,231.1,235.6,-1
NVDA,2023-05-25 09:30:00,382.25,375.27,389.23,-1
NVDA,2023-05-30 09:30:00,405.0999,402.67,407.52979999999997,1
NVDA,2023-06-30 09:30:00,416.49,415.01,417.97,1
NVDA,2023-08-22 09:30:00,479.0,477.4,480.6,-1
NVDA,2023-11-02 09:30:00,431.8775,430.03,433.725,1
NVDA,2023-11-14 09:30:00,494.02,492.71,495.33,1
META,2023-02-02 09:30:00,180.97,180.16,181.78,1
META,2023-03-03 09:30:00,177.89,177.05,178.72999999999996,1
META,2023-03-21 09:30:00,202.47,201.36,203.57999999999998,-1
META,2023-04-26 09:30:00,209.4299,208.88,209.9798,1
META,2023-04-27 09:30:00,238.15,236.77,239.53,1
META,2023-07-27 09:30:00,322.8,320.55,325.05,-1
TSLA,2023-02-02 09:30:00,186.69,185.0955,188.2845,1
TSLA,2023-02-09 09:30:00,206.9432,205.5301,208.35629999999998,1
TSLA,2023-03-03 09:30:00,194.25,193.28,195.22,-1
TSLA,2023-04-12 09:30:00,190.0,189.4,190.6,-1
TSLA,2023-05-08 09:30:00,172.1,171.27,172.92999999999998,-1
TSLA,2023-05-12 09:30:00,175.51,174.6,176.42,1
TSLA,2023-05-30 09:30:00,199.42,198.5879,200.25209999999998,1
TSLA,2023-06-07 09:30:00,228.02,226.49,229.55,-1
TSLA,2023-06-09 09:30:00,247.43,246.58,248.28,1
TSLA,2023-07-12 09:30:00,274.0,273.12,274.88,-1
TSLA,2023-08-21 09:30:00,221.453,220.58,222.326,1
TSLA,2023-08-22 09:30:00,239.5499,238.13,240.96980000000002,-1
TSLA,2023-09-11 09:30:00,262.1946,260.61,263.77919999999995,1
TSLA,2023-11-02 09:30:00,212.37,211.4501,213.28990000000002,-1
TSLA,2023-11-14 09:30:00,233.28,231.88,234.68,-1
LLY,2023-10-11 09:30:00,588.95,587.0,590.9000000000001,-1
JPM,2023-03-14 09:30:00,133.13,132.59,133.67,-1
JPM,2023-03-21 09:30:00,130.76,130.19,131.32999999999998,1
ORCL,2023-06-13 09:30:00,123.04,122.62,123.46000000000001,-1
ORCL,2023-08-29 09:30:00,119.4,119.07,119.73000000000002,-1
ADBE,2023-05-30 09:30:00,426.46,424.75,428.16999999999996,1
ADBE,2023-06-09 09:30:00,455.71,453.6,457.81999999999994,1
ADBE,2023-06-13 09:30:00,486.0,484.4,487.6,1
ADBE,2023-06-16 09:30:00,513.94,509.51,518.3700000000001,-1
ADBE,2023-08-17 09:30:00,519.43,518.44,520.4199999999998,1
BAC,2023-03-14 09:30:00,29.81,29.6,30.019999999999996,-1
BAC,2023-03-21 09:30:00,28.65,28.565,28.734999999999996,1
CRM,2023-02-02 09:30:00,175.495,175.13,175.86,-1
CRM,2023-02-09 09:30:00,172.5,172.04,172.96,1
CRM,2023-03-02 09:30:00,191.68,190.66,192.70000000000002,-1
CRM,2023-07-11 09:30:00,220.28,218.721,221.839,1
CRM,2023-07-19 09:30:00,234.26,232.3,236.21999999999997,-1
CRM,2023-08-31 09:30:00,226.21,223.96,228.46,-1
AMD,2023-02-01 09:30:00,78.195,77.88,78.50999999999999,1
AMD,2023-05-30 09:30:00,129.15,128.31,129.99,-1
AMD,2023-06-12 09:30:00,128.97,127.7,130.24,1
AMD,2023-06-13 09:30:00,131.9799,131.26,132.69979999999998,-1
AMD,2023-07-19 09:30:00,119.67,119.13,120.21000000000001,1
NFLX,2023-06-09 09:30:00,419.5,416.5,422.5,-1
NFLX,2023-10-19 09:30:00,396.49,392.79,400.19,-1
INTC,2023-04-28 09:30:00,31.7993,31.55,32.04859999999999,1
INTC,2023-05-03 09:30:00,30.4293,30.26,30.5986,1
INTC,2023-06-13 09:30:00,33.59,33.45,33.730000000000004,-1
INTC,2023-07-28 09:30:00,36.005,35.72,36.290000000000006,-1
WFC,2023-03-14 09:30:00,41.04,40.78,41.3,-1
WFC,2023-03-21 09:30:00,38.61,38.43,38.79,1
