symbol,date,entry,stop,target,success
GOOG,2023-02-02 09:30:00,107.05,106.54,107.55999999999999 107.36,0.8039215686274586
GOOG,2023-05-25 09:30:00,125.11,124.77,125.45,-1.0
GOOG,2023-07-26 09:30:00,129.59,128.8,130.38,-1.0
GOOGL,2023-02-02 09:30:00,106.1622,105.61,106.7144 106.4386,0.750271640709884
GOOGL,2023-05-11 09:30:00,115.03,114.41,115.65 116.72,1.8629032258064397
GOOGL,2023-05-25 09:30:00,124.33,123.99,124.67,-1.0
GOOGL,2023-07-26 09:30:00,129.17,128.4,129.93999999999997 130.59,1.4220779220779542
AMZN,2023-08-04 09:30:00,140.84,140.24,141.44 140.66,0.3499999999999929
AMZN,2023-10-27 09:30:00,126.2,125.68,126.72 127.905,2.1394230769230878
NVDA,2023-02-23 09:30:00,233.35,231.1,235.6,-1.0
NVDA,2023-05-25 09:30:00,382.25,375.27,389.23,-1.0
NVDA,2023-05-30 09:30:00,405.0999,402.67,407.52979999999997 411.45,1.806658710235002
NVDA,2023-06-30 09:30:00,416.49,415.01,417.97 420.19,1.749999999999981
NVDA,2023-08-22 09:30:00,479.0,477.4,480.6,-1.0
NVDA,2023-11-02 09:30:00,432.27,431.2,433.34,-1.0
NVDA,2023-11-14 09:30:00,494.02,492.71,495.33,1.0
META,2023-02-02 09:30:00,180.97,180.16,181.78 180.97,0.5
META,2023-03-03 09:30:00,177.89,177.05,178.72999999999996 179.58,1.5059523809524265
META,2023-03-21 09:30:00,201.9299,201.44,202.4198,1.0
META,2023-04-26 09:30:00,209.4299,208.88,209.9798,1.0
META,2023-04-27 09:30:00,238.15,236.77,239.53 238.5434,0.6425362318840532
META,2023-07-27 09:30:00,322.8,320.55,325.05,-1.0
TSLA,2023-02-02 09:30:00,186.69,185.0955,188.2845 189.5199,1.3873941674506085
TSLA,2023-02-09 09:30:00,206.9432,205.5301,208.35629999999998 206.18,0.22995541716793183
TSLA,2023-03-03 09:30:00,194.0392,193.38,194.6984,-1.0
TSLA,2023-04-12 09:30:00,190.0,189.4,190.6,-1.0
TSLA,2023-05-08 09:30:00,172.1,171.27,172.92999999999998,-1.0
TSLA,2023-05-12 09:30:00,175.51,174.6,176.42 175.8599,0.6922527472527586
TSLA,2023-05-30 09:30:00,199.42,198.5879,200.25209999999998 202.7,2.470916957096511
TSLA,2023-06-07 09:30:00,227.66,226.81,228.51,-1.0
TSLA,2023-06-09 09:30:00,247.43,246.58,248.28,1.0
TSLA,2023-07-12 09:30:00,274.0,273.12,274.88,-1.0
TSLA,2023-08-21 09:30:00,221.453,220.58,222.326 224.5399,2.2679839633447996
TSLA,2023-08-22 09:30:00,239.5499,238.13,240.96980000000002,-1.0
TSLA,2023-09-11 09:30:00,262.1946,260.61,263.77919999999995 264.3497,1.180013883629954
TSLA,2023-11-02 09:30:00,212.37,211.4501,213.28990000000002,-1.0
TSLA,2023-11-14 09:30:00,233.28,231.88,234.68,-1.0
LLY,2023-10-11 09:30:00,588.95,587.0,590.9000000000001,-1.0
JPM,2023-03-14 09:30:00,133.13,132.59,133.67,-1.0
JPM,2023-03-21 09:30:00,130.76,130.19,131.32999999999998 131.155,0.8464912280701886
ORCL,2023-06-13 09:30:00,123.04,122.62,123.46000000000001,-1.0
ORCL,2023-08-29 09:30:00,119.4,119.07,119.73000000000002,-1.0
ADBE,2023-05-30 09:30:00,426.46,424.75,428.16999999999996 426.84,0.6111111111111112
