,symbol,date,stop,targets,trades
0,AMZN,2023-02-02,98.08,"[106.74, 111.07]","[(1675832400000, 102.41, 1), (1675918800000, 98.08, -1)]"
1,NVDA,2023-02-01,207.86,"[223.53999999999996, 231.37999999999994]","[(1675746000000, 215.7, 1), (1675832400000, 223.53999999999996, -0.5), (1676005200000, 208.11, -0.5)]"
2,NVDA,2023-02-23,229.47,"[240.01000000000002, 245.28000000000003]","[(1677474000000, 234.74, 1), (1677646800000, 229.47, -1)]"
3,NVDA,2023-03-17,251.2983,"[269.1817, 278.1234]","[(1679371200000, 260.24, 1), (1679457600000, 269.1817, -0.5), (1680667200000, 263.95, -0.5)]"
4,NVDA,2023-03-22,258.5,"[271.76, 278.39]","[(1680062400000, 265.13, 1), (1680148800000, 271.76, -0.5), (1680667200000, 263.95, -0.5)]"
5,NVDA,2023-05-30,383.4,"[417.6, 434.70000000000005]","[(1685678400000, 400.5, 1), (1686024000000, 383.4, -1)]"
6,META,2023-02-02,185.5156,"[195.88439999999997, 201.06879999999995]","[(1675746000000, 190.7, 1), (1675832400000, 185.5156, -1)]"
7,META,2023-03-03,181.34,"[189.17999999999998, 193.09999999999997]","[(1678338000000, 185.26, 1), (1678424400000, 181.34, -1)]"
8,META,2023-03-16,193.64,"[205.08000000000004, 210.80000000000007]","[(1679371200000, 199.36, 1), (1679457600000, 205.08000000000004, -0.5), (1679976000000, 197.9, -0.5)]"
9,TSLA,2023-02-02,189.55,"[205.45, 213.39999999999998]","[(1675832400000, 197.5, 1), (1675918800000, 205.45, -0.5), (1676264400000, 187.61, -0.5)]"
10,TSLA,2023-02-09,187.61,"[204.99, 213.68]","[(1676350800000, 196.3, 1), (1676437200000, 204.99, -0.5), (1676610000000, 197.5, -0.5)]"
11,TSLA,2023-02-15,197.5,"[219.38, 230.32]","[(1676955600000, 208.44, 1), (1677042000000, 197.5, -1)]"
12,TSLA,2023-03-21,187.15,"[197.57000000000002, 202.78000000000003]","[(1679889600000, 192.36, 1), (1679976000000, 187.15, -1)]"
13,TSLA,2023-03-31,176.11,"[194.08999999999997, 203.07999999999996]","[(1681185600000, 185.1, 1), (1681963200000, 176.11, -1)]"
14,TSLA,2023-05-05,166.56,"[173.07999999999998, 176.33999999999997]","[(1683691200000, 169.82, 1), (1683777600000, 173.07999999999998, -0.5), (1684123200000, 164.5499, -0.5)]"
15,TSLA,2023-05-08,166.56,"[173.07999999999998, 176.33999999999997]","[(1683691200000, 169.82, 1), (1683777600000, 173.07999999999998, -0.5), (1684123200000, 164.5499, -0.5)]"
16,TSLA,2023-05-19,178.22,"[190.22, 196.22]","[(1684987200000, 184.22, 1), (1685073600000, 190.22, -0.5), (1687406400000, 248.25, -0.5)]"
17,TSLA,2023-05-30,195.12,"[212.77999999999997, 221.60999999999996]","[(1685592000000, 203.95, 1), (1685678400000, 212.77999999999997, -0.5), (1687406400000, 248.25, -0.5)]"
18,TSLA,2023-06-05,244.59,"[257.35, 263.73]","[(1686628800000, 250.97, 1), (1686715200000, 257.35, -0.5), (1687406400000, 248.25, -0.5)]"
19,TSLA,2023-06-07,244.59,"[257.35, 263.73]","[(1686628800000, 250.97, 1), (1686715200000, 257.35, -0.5), (1687406400000, 248.25, -0.5)]"
20,TSLA,2023-06-09,244.59,"[257.35, 263.73]","[(1686628800000, 250.97, 1), (1686715200000, 257.35, -0.5), (1687406400000, 248.25, -0.5)]"
21,TSLA,2023-06-13,247.29,"[270.61, 282.27]","[(1686888000000, 258.95, 1), (1687233600000, 270.61, -0.5), (1687406400000, 248.25, -0.5)]"
22,XOM,2023-02-10,114.14,"[118.04, 119.99000000000001]","[(1676523600000, 116.09, 1), (1676610000000, 114.14, -1)]"
23,ADBE,2023-06-13,473.2,"[494.50000000000006, 505.1500000000001]","[(1686801600000, 483.85, 1), (1686888000000, 494.50000000000006, -0.5), (1687492800000, 472.32, -0.5)]"
24,CRM,2023-02-02,167.35,"[174.98999999999998, 178.80999999999997]","[(1675746000000, 171.17, 1), (1675918800000, 174.98999999999998, -0.5), (1676005200000, 165.33, -0.5)]"
25,AMD,2023-02-01,82.52,"[89.98, 93.71000000000001]","[(1675832400000, 86.25, 1), (1676005200000, 82.52, -1)]"
26,AMD,2023-05-10,93.45,"[101.41000000000001, 105.39000000000001]","[(1684209600000, 97.43, 1), (1684296000000, 101.41000000000001, -0.5), (1686110400000, 117.07, -0.5)]"
27,AMD,2023-05-25,116.6,"[125.96000000000001, 130.64000000000001]","[(1685678400000, 121.28, 1), (1685937600000, 116.6, -1)]"
28,AMD,2023-05-26,116.6,"[125.96000000000001, 130.64000000000001]","[(1685678400000, 121.28, 1), (1685937600000, 116.6, -1)]"
