,symbol,date,stop,targets,trades
0,GOOG,2023-02-02,106.54,"[107.55999999999999, 108.06999999999998]","[(1675348440000, 107.05, 1), (1675349280000, 107.55999999999999, -0.5), (1675349400000, 107.15, -0.5)]"
1,GOOG,2023-05-25,124.77,"[125.45, 125.79]","[(1685021700000, 125.11, 1), (1685021820000, 124.77, -1)]"
2,GOOGL,2023-02-02,105.61,"[106.7144, 107.2666]","[(1675348440000, 106.1622, 1), (1675349280000, 106.7144, -0.5), (1675349400000, 106.205, -0.5)]"
3,GOOGL,2023-05-11,114.41,"[115.65, 116.27000000000001]","[(1683812100000, 115.03, 1), (1683812220000, 115.65, -0.5), (1683812880000, 116.55, -0.5)]"
4,GOOGL,2023-05-25,123.99,"[124.67, 125.01]","[(1685021700000, 124.33, 1), (1685021820000, 123.99, -1)]"
5,NVDA,2023-02-23,231.1,"[235.6, 237.85]","[(1677162780000, 233.35, 1), (1677162900000, 231.1, -1)]"
6,NVDA,2023-05-25,375.27,"[389.23, 396.21000000000004]","[(1685021520000, 382.25, 1), (1685021580000, 375.27, -1)]"
7,NVDA,2023-05-30,402.67,"[407.52979999999997, 409.95969999999994]","[(1685453580000, 405.0999, 1), (1685453820000, 407.52979999999997, -0.5), (1685454780000, 413.25, -0.5)]"
8,NVDA,2023-06-30,415.01,"[417.97, 419.45000000000005]","[(1688132040000, 416.49, 1), (1688132400000, 417.97, -0.5), (1688133240000, 420.1601, -0.5)]"
9,META,2023-02-02,180.16,"[181.78, 182.59]","[(1675348560000, 180.97, 1), (1675348680000, 181.78, -0.5), (1675349220000, 182.59, -0.5)]"
10,META,2023-03-03,177.05,"[178.72999999999996, 179.56999999999994]","[(1677854040000, 177.89, 1), (1677854520000, 178.72999999999996, -0.5), (1677855180000, 179.5699, -0.5)]"
11,META,2023-03-21,201.44,"[202.4198, 202.90970000000002]","[(1679405640000, 201.9299, 1), (1679405700000, 202.4198, -0.5), (1679405820000, 201.44, -0.5)]"
12,META,2023-04-26,208.88,"[209.9798, 210.52970000000002]","[(1682516100000, 209.4299, 1), (1682516160000, 209.9798, -0.5), (1682516220000, 210.52970000000002, -0.5)]"
13,META,2023-04-27,236.77,"[239.53, 240.91]","[(1682602380000, 238.15, 1), (1682602680000, 239.53, -0.5), (1682602920000, 238.44, -0.5)]"
14,TSLA,2023-02-02,185.0955,"[188.2845, 189.87900000000002]","[(1675348380000, 186.69, 1), (1675348560000, 188.2845, -0.5), (1675349280000, 189.21, -0.5)]"
15,TSLA,2023-02-09,205.5301,"[208.35629999999998, 209.76939999999996]","[(1675953180000, 206.9432, 1), (1675953540000, 208.35629999999998, -0.5), (1675953660000, 205.91, -0.5)]"
16,TSLA,2023-03-03,193.38,"[194.6984, 195.3576]","[(1677853980000, 194.0392, 1), (1677854040000, 193.38, -1)]"
17,TSLA,2023-04-12,189.4,"[190.6, 191.2]","[(1681306560000, 190, 1), (1681306740000, 189.4, -1)]"
18,TSLA,2023-05-08,171.27,"[172.92999999999998, 173.75999999999996]","[(1683552780000, 172.1, 1), (1683552840000, 171.27, -1)]"
19,TSLA,2023-05-12,174.6,"[176.42, 177.32999999999998]","[(1683898320000, 175.51, 1), (1683898380000, 176.42, -0.5), (1683898440000, 175.6036, -0.5)]"
20,TSLA,2023-05-30,198.5879,"[200.25209999999998, 201.08419999999998]","[(1685453580000, 199.42, 1), (1685453640000, 200.25209999999998, -0.5), (1685454180000, 202.25, -0.5)]"
21,TSLA,2023-06-07,226.81,"[228.51, 229.35999999999999]","[(1686145020000, 227.66, 1), (1686145080000, 226.81, -1)]"
22,TSLA,2023-06-09,246.58,"[248.28, 249.13]","[(1686317520000, 247.43, 1), (1686317580000, 248.28, -0.5), (1686317640000, 246.31, -0.5)]"
23,JPM,2023-03-14,132.59,"[133.67, 134.20999999999998]","[(1678800960000, 133.13, 1), (1678801020000, 132.59, -1)]"
24,JPM,2023-03-21,130.19,"[131.32999999999998, 131.89999999999998]","[(1679405580000, 130.76, 1), (1679407200000, 131.32999999999998, -0.5), (1679407500000, 130.835, -0.5)]"
25,ORCL,2023-06-13,122.62,"[123.46000000000001, 123.88000000000001]","[(1686663240000, 123.04, 1), (1686663300000, 122.62, -1)]"
26,ADBE,2023-05-30,424.75,"[428.16999999999996, 429.87999999999994]","[(1685453580000, 426.46, 1), (1685453640000, 428.16999999999996, -0.5), (1685453700000, 426.0501, -0.5)]"
27,ADBE,2023-06-09,453.6,"[457.81999999999994, 459.9299999999999]","[(1686317640000, 455.71, 1), (1686317820000, 457.81999999999994, -0.5), (1686318720000, 464.01, -0.5)]"
28,ADBE,2023-06-16,509.51,"[518.3700000000001, 522.8000000000002]","[(1686922380000, 513.94, 1), (1686922620000, 509.51, -1)]"
29,BAC,2023-03-14,29.6,"[30.019999999999996, 30.229999999999993]","[(1678800780000, 29.81, 1), (1678800840000, 29.6, -1)]"
30,BAC,2023-03-21,28.565,"[28.734999999999996, 28.819999999999993]","[(1679405520000, 28.65, 1), (1679405580000, 28.734999999999996, -0.5), (1679405700000, 28.555, -0.5)]"
31,CRM,2023-02-02,175.13,"[175.86, 176.22500000000002]","[(1675348680000, 175.495, 1), (1675348740000, 175.13, -1)]"
32,CRM,2023-02-09,172.04,"[172.96, 173.42000000000002]","[(1675953180000, 172.5, 1), (1675953240000, 172.96, -0.5), (1675953480000, 173.42000000000002, -0.5)]"
33,CRM,2023-03-02,190.66,"[192.70000000000002, 193.72000000000003]","[(1677767640000, 191.68, 1), (1677767700000, 190.66, -1)]"
34,AMD,2023-02-01,77.88,"[78.50999999999999, 78.82499999999999]","[(1675262100000, 78.195, 1), (1675262160000, 78.50999999999999, -0.5), (1675262940000, 79.8, -0.5)]"
35,AMD,2023-05-30,128.31,"[129.99, 130.83]","[(1685453640000, 129.15, 1), (1685453700000, 128.31, -1)]"
36,AMD,2023-06-12,127.71,"[129.33000000000004, 130.14000000000004]","[(1686576720000, 128.52, 1), (1686576780000, 129.33000000000004, -0.5), (1686576900000, 128.47, -0.5)]"
37,AMD,2023-06-13,131.26,"[132.69979999999998, 133.41969999999998]","[(1686663300000, 131.9799, 1), (1686663360000, 131.26, -1)]"
38,NFLX,2023-06-09,416.5,"[422.5, 425.5]","[(1686317700000, 419.5, 1), (1686318600000, 416.5, -1)]"
39,TMO,2023-02-01,576.33,"[581.85, 584.61]","[(1675262340000, 579.09, 1), (1675262400000, 581.85, -0.5), (1675263360000, 593.2, -0.5)]"
40,INTC,2023-04-28,31.55,"[32.04859999999999, 32.2979]","[(1682688780000, 31.7993, 1), (1682688840000, 32.04859999999999, -0.5), (1682688960000, 31.84, -0.5)]"
41,INTC,2023-05-03,30.26,"[30.5986, 30.7679]","[(1683120900000, 30.4293, 1), (1683120960000, 30.5986, -0.5), (1683121200000, 30.4925, -0.5)]"
42,INTC,2023-06-13,33.45,"[33.730000000000004, 33.870000000000005]","[(1686663240000, 33.59, 1), (1686663360000, 33.45, -1)]"
43,WFC,2023-03-14,40.78,"[41.3, 41.559999999999995]","[(1678800780000, 41.04, 1), (1678800840000, 40.78, -1)]"
44,WFC,2023-03-21,38.43,"[38.79, 38.97]","[(1679405520000, 38.61, 1), (1679405580000, 38.79, -0.5), (1679405640000, 38.5, -0.5)]"
45,DIS,2023-02-09,115.8,"[117.02, 117.63]","[(1675953240000, 116.41, 1), (1675953960000, 117.02, -0.5), (1675954320000, 116.59, -0.5)]"
