Stock,Value
A,2023-11-21
AA,2023-02-06
AA,2023-02-21
AA,2023-02-22
AA,2023-03-01
AA,2023-03-14
AA,2023-03-21
AA,2023-05-05
AA,2023-05-08
AA,2023-05-17
AA,2023-05-26
AA,2023-06-02
AA,2023-06-13
AA,2023-06-14
AA,2023-07-12
AA,2023-07-25
AA,2023-08-17
AA,2023-09-01
AA,2023-09-11
AA,2023-09-14
AA,2023-09-29
AA,2023-10-16
AA,2023-10-30
AA,2023-11-14
AA,2023-12-14
AA,2023-12-19
AA,2023-12-22
AAL,2023-03-21
AAL,2023-05-08
AAL,2023-05-31
AAL,2023-07-13
AAL,2023-11-03
AAL,2023-11-14
AAOI,2023-06-30
AAOI,2023-07-03
AAOI,2023-07-10
AAOI,2023-07-11
AAOI,2023-07-12
AAOI,2023-07-14
AAOI,2023-07-21
AAOI,2023-07-28
AAOI,2023-08-03
AAOI,2023-08-04
AAOI,2023-08-21
AAOI,2023-08-30
AAOI,2023-09-11
AAOI,2023-09-29
AAOI,2023-10-27
AAOI,2023-11-02
AAOI,2023-11-09
AAOI,2023-11-14
AAOI,2023-11-22
AAOI,2023-12-06
AAOI,2023-12-15
AAOI,2023-12-18
AAOI,2023-12-21
AAP,2023-02-28
AAP,2023-09-15
AAP,2023-11-03
AAP,2023-11-14
AAP,2023-12-14
AAP,2023-12-21
AAPL,2023-02-02
AAPL,2023-05-05
ABBV,2023-02-09
ABCL,2023-02-27
ABCL,2023-03-14
ABCL,2023-07-12
ABCL,2023-09-15
ABCL,2023-12-14
ABCM,2023-06-12
ABCM,2023-06-16
ABCM,2023-06-23
ABCM,2023-06-27
ABCM,2023-07-06
ABCM,2023-11-17
ABNB,2023-02-15
ABNB,2023-03-14
ABNB,2023-04-18
ABNB,2023-05-05
ABNB,2023-05-08
ABNB,2023-06-09
ABNB,2023-09-05
ABNB,2023-10-30
ABNB,2023-11-02
ABNB,2023-11-03
ABNB,2023-11-14
ABOS,2023-07-26
ABOS,2023-07-27
ABOS,2023-08-07
ABR,2023-02-17
ABR,2023-03-14
ABR,2023-03-17
ABR,2023-03-20
ABR,2023-03-27
ABR,2023-05-05
ABR,2023-05-08
ABR,2023-06-21
ABR,2023-07-28
ABR,2023-10-27
ABR,2023-11-02
ABR,2023-11-03
ABR,2023-11-14
ABR,2023-11-30
ABR,2023-12-14
ABT,2023-04-19
ABT,2023-10-18
ACAD,2023-02-28
ACAD,2023-03-14
ACAD,2023-07-14
ACAD,2023-10-10
ACAD,2023-10-24
ACAD,2023-11-03
ACAD,2023-11-06
ACAD,2023-11-14
ACAD,2023-12-19
ACDC,2023-04-03
ACDC,2023-06-02
ACGL,2023-03-14
ACGL,2023-03-21
ACGL,2023-07-27
ACGL,2023-10-31
ACGL,2023-12-18
ACHR,2023-07-31
ACHR,2023-08-11
ACHR,2023-08-21
ACHR,2023-08-22
ACHR,2023-08-28
ACHR,2023-10-11
ACHR,2023-10-19
ACHR,2023-10-25
ACHR,2023-11-14
ACHR,2023-11-15
ACHR,2023-11-29
ACI,2023-09-08
ACIW,2023-11-14
ACMR,2023-03-14
ACMR,2023-10-31
ACMR,2023-11-02
ACMR,2023-11-03
ACMR,2023-11-06
ACMR,2023-11-14
ACMR,2023-11-29
ACN,2023-02-02
ACN,2023-03-14
ACN,2023-03-23
ACRS,2023-03-10
ACRS,2023-10-03
ACRS,2023-11-02
ACRS,2023-11-03
ACVA,2023-02-23
ACVA,2023-03-14
ACVA,2023-05-11
ACVA,2023-08-08
ACXP,2023-10-18
ADBE,2023-02-02
ADBE,2023-03-14
ADBE,2023-03-16
ADBE,2023-03-23
ADBE,2023-05-25
ADBE,2023-05-30
ADBE,2023-06-09
ADBE,2023-06-12
ADBE,2023-06-13
ADBE,2023-06-16
ADBE,2023-07-31
ADBE,2023-08-17
ADBE,2023-09-13
ADI,2023-02-15
ADI,2023-07-27
ADI,2023-11-14
ADNT,2023-11-29
ADPT,2023-02-27
ADPT,2023-03-14
ADPT,2023-07-12
ADPT,2023-08-04
ADPT,2023-09-26
ADPT,2023-11-06
ADPT,2023-12-14
ADSK,2023-07-12
ADSK,2023-08-24
ADSK,2023-11-14
ADT,2023-05-05
ADT,2023-06-02
ADT,2023-11-02
ADT,2023-11-14
ADT,2023-11-17
ADTN,2023-07-12
ADTN,2023-11-14
ADTN,2023-12-14
AEE,2023-11-14
AEG,2023-02-09
AEG,2023-03-08
AEG,2023-08-21
AEG,2023-11-16
AEHR,2023-02-23
AEHR,2023-02-27
AEHR,2023-03-03
AEHR,2023-03-14
AEHR,2023-03-21
AEHR,2023-03-23
AEHR,2023-03-29
AEHR,2023-04-26
AEHR,2023-06-09
AEHR,2023-07-12
AEHR,2023-07-14
AEHR,2023-07-27
AEHR,2023-10-12
AEHR,2023-11-02
AEHR,2023-11-14
AEHR,2023-11-15
AEM,2023-03-13
AEM,2023-10-13
AEM,2023-11-14
AEM,2023-12-22
AEO,2023-03-14
AEO,2023-03-21
AEO,2023-05-24
AEO,2023-06-02
AEO,2023-07-12
AEO,2023-08-01
AEO,2023-08-03
AEO,2023-08-23
AEO,2023-11-14
AEO,2023-11-15
AEO,2023-11-17
AEO,2023-12-14
AEP,2023-11-14
AER,2023-03-14
AER,2023-03-21
AER,2023-03-30
AER,2023-04-12
AES,2023-03-14
AES,2023-11-03
AES,2023-11-14
AES,2023-12-14
AFL,2023-03-14
AFL,2023-03-21
AFL,2023-08-02
AFRM,2023-02-02
AFRM,2023-02-27
AFRM,2023-03-14
AFRM,2023-03-29
AFRM,2023-03-30
AFRM,2023-04-12
AFRM,2023-06-02
AFRM,2023-06-07
AFRM,2023-06-13
AFRM,2023-06-30
AFRM,2023-07-11
AFRM,2023-07-12
AFRM,2023-07-19
AFRM,2023-07-27
AFRM,2023-07-28
AFRM,2023-08-25
AFRM,2023-09-11
AFRM,2023-09-29
AFRM,2023-10-30
AFRM,2023-11-02
AFRM,2023-11-03
AFRM,2023-11-09
AFRM,2023-11-14
AFRM,2023-11-27
AFRM,2023-12-19
AFRM,2023-12-21
AFRM,2023-12-22
AG,2023-03-13
AG,2023-03-15
AG,2023-03-17
AG,2023-03-30
AG,2023-04-13
AG,2023-05-01
AG,2023-05-26
AG,2023-07-12
AG,2023-08-17
AG,2023-09-11
AG,2023-09-22
AG,2023-09-29
AG,2023-10-13
AG,2023-11-16
AG,2023-11-21
AG,2023-11-27
AG,2023-12-14
AG,2023-12-22
AGI,2023-03-10
AGI,2023-03-13
AGI,2023-05-01
AGI,2023-07-27
AGI,2023-10-13
AGI,2023-11-14
AGI,2023-12-22
AGL,2023-03-02
AGL,2023-05-10
AGL,2023-07-28
AGL,2023-08-04
AGL,2023-11-14
AGL,2023-11-22
AGL,2023-12-01
AGL,2023-12-06
AGL,2023-12-14
AGL,2023-12-21
AGNC,2023-10-31
AGNC,2023-11-03
AGNC,2023-11-14
AGNC,2023-12-14
AGR,2023-11-14
AHCO,2023-03-14
AHCO,2023-05-05
AHCO,2023-07-13
AHCO,2023-08-08
AHCO,2023-08-09
AHCO,2023-10-27
AHCO,2023-11-03
AHCO,2023-11-14
AHCO,2023-11-22
AHCO,2023-12-06
AHCO,2023-12-21
AHI,2023-06-12
AHI,2023-06-21
AHI,2023-08-04
AHI,2023-08-17
AI,2023-02-02
AI,2023-02-06
AI,2023-02-09
AI,2023-02-23
AI,2023-03-03
AI,2023-03-14
AI,2023-03-24
AI,2023-04-11
AI,2023-04-12
AI,2023-04-25
AI,2023-05-15
AI,2023-05-23
AI,2023-05-25
AI,2023-05-30
AI,2023-06-07
AI,2023-06-09
AI,2023-06-13
AI,2023-06-16
AI,2023-06-20
AI,2023-06-27
AI,2023-06-29
AI,2023-07-12
AI,2023-07-19
AI,2023-07-27
AI,2023-07-28
AI,2023-08-04
AI,2023-08-24
AI,2023-10-27
AI,2023-10-30
AI,2023-11-02
AI,2023-11-14
AI,2023-11-21
AI,2023-11-22
AI,2023-12-14
AI,2023-12-21
AIG,2023-03-14
AIG,2023-03-21
AIG,2023-03-27
AIG,2023-03-29
AIG,2023-05-05
AIG,2023-05-23
AIRC,2023-11-14
AIRC,2023-12-14
AIV,2023-03-14
AIV,2023-11-02
AIV,2023-11-03
AIV,2023-11-07
AIV,2023-11-14
AKAM,2023-05-10
AKAM,2023-08-09
AKRO,2023-11-14
AKRO,2023-12-05
AKRO,2023-12-14
AKRO,2023-12-21
ALB,2023-03-14
ALB,2023-03-21
ALB,2023-03-29
ALB,2023-04-12
ALB,2023-04-24
ALB,2023-05-03
ALB,2023-05-05
ALB,2023-05-08
ALB,2023-05-11
ALB,2023-05-15
ALB,2023-05-22
ALB,2023-06-02
ALB,2023-07-28
ALB,2023-08-03
ALB,2023-10-12
ALB,2023-11-03
ALB,2023-11-14
ALB,2023-11-29
ALB,2023-12-06
ALB,2023-12-07
ALB,2023-12-08
ALB,2023-12-14
ALB,2023-12-21
ALC,2023-03-23
ALC,2023-03-30
ALC,2023-04-21
ALC,2023-05-03
ALDX,2023-06-22
ALDX,2023-06-30
ALGM,2023-02-09
ALGM,2023-02-23
ALGM,2023-03-14
ALGM,2023-05-11
ALGM,2023-05-25
ALGM,2023-05-30
ALGM,2023-07-27
ALGM,2023-11-02
ALGM,2023-11-14
ALGM,2023-12-21
ALGN,2023-02-02
ALGN,2023-11-02
ALGN,2023-11-06
ALGN,2023-11-14
ALGN,2023-11-16
ALGN,2023-12-14
ALHC,2023-03-14
ALHC,2023-05-01
ALIT,2023-02-22
ALIT,2023-03-14
ALIT,2023-05-30
ALIT,2023-06-13
ALIT,2023-10-10
ALIT,2023-11-01
ALIT,2023-11-03
ALIT,2023-11-14
ALK,2023-03-10
ALK,2023-03-14
ALK,2023-07-13
ALK,2023-11-03
ALK,2023-11-14
ALK,2023-11-22
ALKS,2023-02-16
ALKS,2023-08-30
ALKS,2023-10-24
ALKS,2023-12-04
ALL,2023-03-14
ALL,2023-11-02
ALLK,2023-03-07
ALLK,2023-03-23
ALLK,2023-03-28
ALLK,2023-06-02
ALLO,2023-02-02
ALLO,2023-03-01
ALLO,2023-06-02
ALLO,2023-07-25
ALLO,2023-08-04
ALLY,2023-03-14
ALLY,2023-03-21
ALLY,2023-03-27
ALLY,2023-04-14
ALLY,2023-05-05
ALLY,2023-05-10
ALLY,2023-06-02
ALLY,2023-07-12
ALLY,2023-09-05
ALLY,2023-11-03
ALLY,2023-11-14
ALLY,2023-12-14
ALT,2023-02-02
ALT,2023-02-09
ALT,2023-04-28
ALT,2023-12-01
ALT,2023-12-06
ALT,2023-12-11
ALT,2023-12-21
ALV,2023-03-06
ALV,2023-03-14
ALV,2023-03-21
ALV,2023-11-14
ALXO,2023-10-05
ALXO,2023-10-31
ALXO,2023-11-03
AM,2023-05-05
AMAM,2023-03-17
AMAM,2023-04-05
AMAM,2023-10-26
AMAM,2023-11-14
AMAM,2023-11-17
AMAT,2023-02-09
AMAT,2023-02-28
AMAT,2023-03-14
AMAT,2023-03-23
AMAT,2023-05-25
AMAT,2023-07-27
AMAT,2023-07-28
AMAT,2023-11-14
AMAT,2023-12-21
AMBI,2023-04-10
AMBI,2023-04-12
AMC,2023-02-02
AMC,2023-02-06
AMC,2023-02-07
AMC,2023-02-09
AMC,2023-02-21
AMC,2023-02-22
AMC,2023-02-28
AMC,2023-03-22
AMC,2023-03-23
AMC,2023-03-30
AMC,2023-04-05
AMC,2023-04-06
AMC,2023-04-11
AMC,2023-04-12
AMC,2023-04-13
AMC,2023-04-14
AMC,2023-04-17
AMC,2023-05-05
AMC,2023-05-30
AMC,2023-06-05
AMC,2023-06-07
AMC,2023-07-14
AMC,2023-07-24
AMC,2023-07-28
AMC,2023-08-07
AMC,2023-08-08
AMC,2023-08-15
AMC,2023-08-31
AMC,2023-09-11
AMC,2023-09-14
AMC,2023-10-12
AMC,2023-10-23
AMC,2023-11-06
AMC,2023-11-14
AMC,2023-11-29
AMC,2023-12-21
AMD,2023-02-01
AMD,2023-02-23
AMD,2023-03-14
AMD,2023-03-23
AMD,2023-04-26
AMD,2023-05-25
AMD,2023-05-30
AMD,2023-06-09
AMD,2023-06-12
AMD,2023-06-13
AMD,2023-07-19
AMD,2023-07-28
AMD,2023-10-27
AMD,2023-11-14
AMD,2023-12-07
AMGN,2023-08-04
AMH,2023-11-14
AMKR,2023-02-23
AMKR,2023-03-14
AMKR,2023-07-12
AMKR,2023-11-02
AMKR,2023-11-14
AMKR,2023-12-21
AMLX,2023-03-21
AMLX,2023-03-31
AMLX,2023-06-02
AMLX,2023-07-24
AMLX,2023-07-28
AMLX,2023-11-02
AMLX,2023-11-03
AMLX,2023-11-10
AMLX,2023-11-14
AMLX,2023-12-12
AMLX,2023-12-14
AMLX,2023-12-20
AMPS,2023-03-21
AMPS,2023-03-30
AMPS,2023-04-03
AMPS,2023-06-07
AMPS,2023-06-09
AMPS,2023-06-13
AMPS,2023-06-14
AMPS,2023-07-12
AMPS,2023-07-17
AMPS,2023-07-19
AMPS,2023-08-14
AMPS,2023-11-03
AMPS,2023-12-14
AMPS,2023-12-15
AMSC,2023-08-04
AMSC,2023-08-22
AMSC,2023-09-14
AMT,2023-07-27
AMT,2023-09-29
AMT,2023-11-14
AMT,2023-12-14
AMTX,2023-06-02
AMTX,2023-06-05
AMTX,2023-06-09
AMTX,2023-06-12
AMTX,2023-06-30
AMTX,2023-07-07
AMZN,2023-02-02
AMZN,2023-04-21
AMZN,2023-04-26
AMZN,2023-04-27
AMZN,2023-07-13
AMZN,2023-07-27
AMZN,2023-08-04
AMZN,2023-10-27
ANET,2023-03-14
ANET,2023-04-26
ANET,2023-05-25
ANET,2023-08-01
ANET,2023-08-31
ANET,2023-10-31
ANF,2023-03-14
ANF,2023-03-21
ANF,2023-05-24
ANF,2023-07-17
ANF,2023-08-23
ANF,2023-11-14
ANF,2023-11-17
ANF,2023-12-21
ANGO,2023-09-25
ANGO,2023-10-04
ANGO,2023-10-05
AOS,2023-04-27
APA,2023-02-10
APA,2023-02-23
APA,2023-03-21
APA,2023-04-03
APA,2023-05-05
