Ticker,Description,Price,Change %,Change from Open %,Pre-market Change %,Pre-market Volume,Average Volume (60 day),Volume,Relative Volume,Industry,Market Capitalization,Shares Float,Volatility,Relative Volume at Time
AAPL,Apple Inc.,193.6,-0.55475652,-0.80950917,0.21573865,298627,53898661.26666667,37149260,0.59154199,Telecommunications Equipment,3011012873051,15539175747.2,1.26444525,0.54613123
MSFT,Microsoft Corporation,374.58,0.2784173,0.24084778,0.04818761,92464,26512025.45,17107484,0.54854908,Packaged Software,2783976860612,7320828125.820001,0.66271364,0.39440931
GOOG,Alphabet Inc.,142.72,0.64880113,0.41511292,0.21861777,98005,22841059.43333334,18513524,0.64800545,Internet Software/Services,1777930634293,5327713625,1.02073141,0.55718861
GOOGL,Alphabet Inc.,141.49,0.76199972,0.51147261,0.22788777,225232,29929456.38333332,26532098,0.76586273,Internet Software/Services,1777930634292.9998,5894706752,1.11577002,0.62626612
AMZN,"Amazon.com, Inc.",153.42,-0.27301092,-0.22761267,-0.08450338,277540,52021008,29513691,0.53532938,Internet Retail,1585447055453,9064581774,1.07393098,0.44379912
NVDA,NVIDIA Corporation,488.3,-0.32659726,-0.74194532,0.39804042,354166,43313586.13333334,25250187,0.61055959,Semiconductors,1206100969849.0002,2369611790,1.88994574,0.50570866
META,"Meta Platforms, Inc.",353.39,-0.19768985,-0.61589516,0.34172103,90147,19180553.81666667,11772649,0.60529858,Internet Software/Services,908163795850.9998,2212766942.37,1.70260805,0.52495581
TSLA,"Tesla, Inc.",252.54,-0.77013752,-1.64355819,0.89587426,1324827,120989848.73333336,93368873,0.77986321,Motor Vehicles,802804785659.0001,2764566851.52,2.72506663,0.5951362
BRK.B,Berkshire Hathaway Inc. New,356.47,0.09266019,-0.00841515,0.2358623,5302,3283612.51666667,2333775,0.56579628,Property/Casualty Insurance,776628946675,1303761219.27,0.80294018,0.45426256
LLY,Eli Lilly and Company,570.39,-0.28146853,-0.45897176,-0.08741259,914,3325547.91666667,2226069,0.64951716,Pharmaceuticals: Major,541475376790,847906772.7950001,1.4944838,0.46369292
AVGO,Broadcom Inc.,1121.98,-0.47104117,-0.53192432,0.06564416,1390,3219078.08333333,1908889,0.2859146,Semiconductors,525244340814,458890533.84,1.65868903,0.21934763
V,Visa Inc.,258.43,-0.42767974,-0.60384615,-0.0924713,884,6054347.58333333,5111707,0.72178076,Miscellaneous Commercial Services,519467270199,1577940187.1200001,1.15599102,0.56105639
JPM,JP Morgan Chase & Co.,167.4,-0.05970149,-0.05970149,0.12537313,1453,9651511.93333333,6576322,0.60239621,Major Banks,483954771905,2862975876.03,0.59797883,0.43412994
UNH,UnitedHealth Group Incorporated,520.31,0.08271139,0.08271139,,,2924250.96666667,1759571,0.45186145,Managed Health Care,481247876926,923309156.025,0.96328327,0.34648648
WMT,Walmart Inc.,156.65,1.19509044,0.7719524,0.59431525,9046,7628112.43333333,6468545,0.61339046,Specialty Stores,421738383678,1430971397.37,1.51461247,0.58060807
XOM,Exxon Mobil Corporation,101.91,0.17693896,-0.39096862,0.65860611,51224,22243790.05,12927570,0.511438,Integrated Oil,408265059354.0001,3999664106.18,1.18837164,0.44156545
MA,Mastercard Incorporated,424.1,0.15586624,-0.15303119,,,2647115.68333334,1759004,0.57865975,Miscellaneous Commercial Services,397710827450,831660841.044,0.99418385,0.34255405
JNJ,Johnson & Johnson,155.46,0.40041333,0.1352657,0.26478946,1539,7001166.63333333,3798865,0.44748939,Pharmaceuticals: Major,374235541792.0001,2403091332.8,1.09018191,0.42403015
HD,"Home Depot, Inc. (The)",348.59,-0.10889188,-0.12892505,0.13468206,2027,3389197.71666667,2030075,0.41377992,Home Improvement Chains,346938342723,992784792.882,1.34125588,0.3557817
PG,Procter & Gamble Company (The),145.28,0.7070567,0.53979239,0.15250243,919,6780006.18333333,4413842,0.53487881,Household/Personal Care,342408428685,2355461724.66,0.94947675,0.45144449
COST,Costco Wholesale Corporation,671.6,0.96818811,0.53892216,0.42544651,2736,2063839.6,1641675,0.45049426,Specialty Stores,298007978278.0001,441589674.768,1.21821321,0.34018767
ORCL,Oracle Corporation,106.2,0.32117892,0.4730369,-0.06612507,22664,9231909.21666667,5680031,0.27250459,Packaged Software,291935520664,1592537321.4399998,0.97667362,0.18521848
CVX,Chevron Corporation,151.05,0.22559883,-0.45472519,0.78296065,4316,10975129.38333333,6395772,0.51613607,Integrated Oil,284283407477,1881530554.2,1.11442786,0.40284256
ABBV,AbbVie Inc.,154.94,1.54007471,1.07639115,0.26869389,828,5432014.36666667,3373413,0.49098406,Pharmaceuticals: Major,273552361863.99997,1763340137.16,1.87472524,0.47637459
MRK,"Merck & Company, Inc.",107.7,1.23131873,0.51329911,0.31017953,3375,8210101.21666665,6028695,0.56759475,Pharmaceuticals: Major,272914263898.00003,2530492644.16,1.56315814,0.53267507
ADBE,Adobe Inc.,598.75,-0.23161262,-0.34121172,0.22661379,2905,2929864.05,1660631,0.33019607,Packaged Software,272610867691,452168446.6,0.98322148,0.20038711
BAC,Bank of America Corporation,33.43,0.69277108,0.66245107,0.06024096,140894,48701079.38333333,37265601,0.72339192,Major Banks,264556060955,7901463718.5,1.41566265,0.37087991
CRM,"Salesforce, Inc.",266.34,-0.34050514,-0.34423408,-0.05986904,15194,5324452.58333333,3110591,0.48637213,Packaged Software,257817116455.00003,936617440,1.07425556,0.33675351
KO,Coca-Cola Company (The),58.32,0.56906363,0.34411562,0.3276427,8943,15935302.13333333,9029440,0.44433843,Beverages: Non-Alcoholic,252141506806,4296081725.390001,0.81006549,0.40437496
PEP,"PepsiCo, Inc.",167.68,0.42522609,0.19120459,0.1557166,1556,5825047.26666667,3030355,0.45022973,Beverages: Non-Alcoholic,230537187743,1370277591.6200001,0.7850893,0.35472684
AMD,"Advanced Micro Devices, Inc.",139.6,-0.22157101,-0.62642369,0.41455221,516527,56529183,35396582,0.48658038,Semiconductors,225523656491,1598774728.5,1.72800231,0.41045992
ACN,Accenture plc,354.45,1.6344086,1.27142857,,,2003919.06666667,2313932,0.85423332,Information Technology Services,222237280344.00003,625348026.9760001,1.98614584,0.64240008
NFLX,"Netflix, Inc.",486.76,-0.98655438,-1.46558704,0.56752304,22870,5189663.85,2702655,0.56179361,Data Processing Services,213044954107,431551604.64,2.17736121,0.41527211
MCD,McDonald's Corporation,291.7,0.10638663,0.34399725,-0.13384124,200,3249691.2,1700320,0.51913531,Restaurants,211582264415.00003,724108918.6,0.67814114,0.40915051
TMO,Thermo Fisher Scientific Inc,529.05,0.47288058,0.1817872,,,1914056.53333333,1081485,0.49362196,Medical Specialties,204410268245,385725986.016,1.20706291,0.50930422
CSCO,"Cisco Systems, Inc.",50.09,0.78470825,0.50160514,-0.02012072,14891,19372322.05,12903828,0.53673701,Information Technology Services,203539504949,4054320916.080001,1.38443018,0.47041192
INTC,Intel Corporation,48,1.95412065,1.58730159,0.40356839,142710,38205764.91666667,30095524,0.67980754,Semiconductors,202368000000,4213795032,2.27902542,0.6060801
LIN,Linde plc,410.74,0.39351795,0.03653279,0.35685479,544,1718657.36666667,838963,0.32314798,Chemicals: Specialty,199163920438.00003,476563468.92,0.86003065,0.21773337
ABT,Abbott Laboratories,109.03,0.5070059,0.16076432,-0.523691,500,6196605.91666665,2565722,0.43126762,Medical Specialties,189282453048,1723928412.72,0.79262673,0.34280408
TMUS,"T-Mobile US, Inc.",155.71,0.50345317,0.3544728,0.14845414,1000,4326787.83333333,2783959,0.55806614,Wireless Telecommunications,180074726213,454341671.68,1.20528771,0.37770245
WFC,Wells Fargo & Company,49.18,-0.54600607,-0.96657269,0.3033367,11137,17047855.31666667,10450410,0.42549945,Major Banks,178604039018,3626900709.8,1.56854757,0.31727911
CMCSA,Comcast Corporation,44,-0.04543389,-0.29458418,0.31803726,7656,19521533.98333334,11894114,0.50597273,Cable/Satellite TV,177103503672,3984406352.08,1.83976261,0.42218505
INTU,Intuit Inc.,624.07,0.49598222,0.19989564,0.06602361,100,1466459.86666667,820797,0.48276585,Packaged Software,174699664465.00003,271920032.64,1.20855459,0.35287743
DHR,Danaher Corporation,230.36,0.00434122,-0.54828822,0.19535489,245,3279103.16666672,1577024,0.44567362,Medical Specialties,170219252741.00003,673851176.9640001,1.90034154,0.38841353
DIS,Walt Disney Company (The),91.02,-1.08672028,-0.65487885,-0.47815692,51783,12735457.91666667,9419786,0.80048069,Movies/Entertainment,166595348709,1829382876.16,1.64187328,0.72266557
NKE,"Nike, Inc.",108.04,-11.82567534,-0.20321448,-11.76854648,1578905,9335040.46666667,46666051,5.00914235,Apparel/Footwear,164438266183.00003,1182926104.3500001,14.03443462,5.35427447
PFE,"Pfizer, Inc.",28.4,0.31790887,-0.14064698,0.4592017,175249,39732960.41666667,35162297,0.46427712,Pharmaceuticals: Major,160358143354,5644128850.36,2.16465578,0.36417495
QCOM,QUALCOMM Incorporated,143.49,0.73715249,0.16753927,0.46335299,7271,8461993.1,4659213,0.46960009,Semiconductors,159704376114,1111775700,1.37302977,0.39251915
BX,Blackstone Inc.,130.69,1.20024779,0.7322337,0.16261422,1105,3754153.2,3342672,0.68043415,Investment Managers,158073997588,704210491.325,2.27483751,0.54609915
VZ,Verizon Communications Inc.,37.49,0.16029923,0.18706574,-0.10686615,68030,22744874.58333334,13171597,0.53355826,Wireless Telecommunications,157611774635,4202842974.1,1.02941176,0.45096273
BA,Boeing Company (The),260.44,-0.6030074,-0.53087881,-0.08396306,15301,6023368.5,4433959,0.60992605,Aerospace & Defense,157560160998,604138501.878,1.40524691,0.43405667
TXN,Texas Instruments Incorporated,168.24,0.85726275,0.58591415,0.36568551,899,5626024.13333333,3492393,0.50415019,Semiconductors,152796252767,906939780.032,1.26621508,0.26790012
AMGN,Amgen Inc.,284.16,1.72913758,1.48571429,0.47971933,617,2547832.23333333,1814168,0.58196353,Pharmaceuticals: Major,152076176335,534002213.934,2.26785714,0.53733518
MS,Morgan Stanley,92.41,-0.23750405,-0.52744887,0.39943863,3434,9183168.96666667,5800929,0.54472943,Investment Banks/Brokers,151673615171.99997,1259579044.13,1.54782918,0.4107879
UNP,Union Pacific Corporation,243.58,0.60716203,0.23868313,,,2500205.85,1824809,0.59945165,Railroads,148485753625.00003,607552798.71,1.17197978,0.5024089
IBM,International Business Machines Corporation,162.14,0.84587635,0.64556176,0.13683294,455,4279692.88333333,2442715,0.45779101,Information Technology Services,148053047837,912470685.51,1.01242236,0.42103451
CAT,"Caterpillar, Inc.",290.36,0.09997587,0.01722297,-0.02413211,234,3221334,2833962,0.71918199,Trucks/Construction/Farm Machinery,147817839773,508198173.93,1.35682392,0.33302545
PM,Philip Morris International Inc,92.94,0.11849618,-0.05376922,0.18313045,853,4682172.5,2578725,0.38738985,Tobacco,144280617975,1549809713.25,1.19754019,0.31646433
NOW,"ServiceNow, Inc.",697.55,-0.45807409,-0.89507708,0.17695074,348,1232928.6,492989,0.37289528,Packaged Software,142997747498.00003,203916370,1.3579678,0.25417234
RY,Royal Bank Of Canada,100.78,0.59892194,0.14906092,1.16789778,949,1286966.78333333,779626,0.74619719,Major Banks,141331116821.66876,1402172265.83,1.0302608,0.63646408
COP,ConocoPhillips,117.66,0.71043396,-0.28813559,1.25823847,2130,6023651.06666668,4299453,0.44753231,Oil & Gas Production,139710424803,1186417325.24,1.53465769,0.41006757
GE,General Electric Company,126.69,-0.22052453,-0.54949368,0.37804206,3907,4831208.18333332,3216758,0.6073732,Industrial Machinery,137887623264.99997,1084307449.1100001,1.46615945,0.49919013
SPGI,S&P Global Inc.,434.84,0.49689154,-0.06664675,0.53386951,294,1237981.76666667,698506,0.5175652,Financial Publishing/Services,137757305532,316417305.6,0.98002844,0.35906202
HON,Honeywell International Inc.,205.64,0.2877347,0.2877347,0.14142892,862,2832392.91666667,1889800,0.51361543,Aerospace & Defense,135568295110,658682725.638,1.07338017,0.41823939
AXP,American Express Company,185.57,0.42210076,-0.03770739,0.46539315,1183,3230304.7,2782604,0.73917452,Finance/Rental/Leasing,135233316018,727884622.228,0.94237123,0.36347829
UPS,"United Parcel Service, Inc.",158.25,0.6935607,0.15822785,0.87172308,1948,3731850.58333333,2332482,0.50662557,Air Freight/Couriers,134817229333,723053041.526,1.53915854,0.45652432
AMAT,"Applied Materials, Inc.",162.05,0.40894727,0.27846535,0.17968895,1838,5696089.6,2770624,0.47233501,Industrial Machinery,134674432357.99998,826766228.275,1.34294952,0.33555857
LOW,"Lowe's Companies, Inc.",223,-0.24602997,-0.46198139,,,2962444.08333333,2368842,0.5366433,Home Improvement Chains,128250112000,574583896.04,1.39190892,0.47021912
UBER,"Uber Technologies, Inc.",61.71,0.40676863,0.01620746,0.26033192,62114,30334765.35,14715609,0.22962977,Other Transportation,126990424818.00002,1980130512.08,1.55842037,0.32586977
SCHW,Charles Schwab Corporation (The),68.58,0.58668231,0.48351648,0.46934585,7761,10909913.88333333,4456829,0.33568966,Investment Banks/Brokers,125044893850,1660762608.15,1.61693371,0.2514868
